ID,Name,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total,Average
70,Weepinbell,65,90,50,85,45,55,390,65
71,Victreebel,80,105,65,100,60,70,480,80
72,Tentacool,40,40,35,50,100,70,335,55.83
73,Tentacruel,80,70,65,80,120,100,515,85.83
74,Geodude,40,80,100,30,30,20,300,50
75,Graveler,55,95,115,45,45,35,390,65
76,Golem,80,110,130,55,65,45,485,80.83
77,Ponyta,50,85,55,65,65,90,410,68.33
78,Rapidash,65,100,70,80,80,105,500,83.33
79,Slowpoke,90,65,65,40,40,15,315,52.5
80,Slowbro,95,75,110,100,80,30,490,81.67
81,Magnemite,25,35,70,95,55,45,325,54.17
82,Magneton,50,60,95,120,70,70,465,77.5
83,Farfetch'd,52,65,55,58,62,60,352,58.67
84,Doduo,35,85,45,35,35,75,310,51.67
85,Dodrio,60,110,70,60,60,100,460,76.67
86,Seel,65,45,55,45,70,45,325,54.17
87,Dewgong,90,70,80,70,95,70,475,79.17
88,Grimer,80,80,50,40,50,25,325,54.17
89,Muk,105,105,75,65,100,50,500,83.33
90,Shellder,30,65,100,45,25,40,305,50.83
91,Cloyster,50,95,180,85,45,70,525,87.5
92,Gastly,30,35,30,100,35,80,310,51.67
93,Haunter,45,50,45,115,55,95,405,67.5
94,Gengar,60,65,60,130,75,110,500,83.33
95,Onix,35,45,160,30,45,70,385,64.17
96,Drowzee,60,48,45,43,90,42,328,54.67
97,Hypno,85,73,70,73,115,67,483,80.5
98,Krabby,30,105,90,25,25,50,325,54.17
99,Kingler,55,130,115,50,50,75,475,79.17
100,Voltorb,40,30,50,55,55,100,330,55
101,Electrode,60,50,70,80,80,140,480,80
102,Exeggcute,60,40,80,60,45,40,325,54.17
103,Exeggutor,95,95,85,125,65,55,520,86.67
104,Cubone,50,50,95,40,50,35,320,53.33
105,Marowak,60,80,110,50,80,45,425,70.83
106,Hitmonlee,50,120,53,35,110,87,455,75.83
107,Hitmonchan,50,105,79,35,110,76,455,75.83
108,Lickitung,90,55,75,60,75,30,385,64.17
109,Koffing,40,65,95,60,45,35,340,56.67
110,Weezing,65,90,120,85,70,60,490,81.67
111,Rhyhorn,80,85,95,30,30,25,345,57.5
112,Rhydon,105,130,120,45,45,40,485,80.83
113,Chansey,250,5,5,35,105,50,450,75
114,Tangela,65,55,115,100,40,60,435,72.5
115,Kangaskhan,105,95,80,40,80,90,490,81.67
116,Horsea,30,40,70,70,25,60,295,49.17
117,Seadra,55,65,95,95,45,85,440,73.33
118,Goldeen,45,67,60,35,50,63,320,53.33
119,Seaking,80,92,65,65,80,68,450,75
120,Staryu,30,45,55,70,55,85,340,56.67
121,Starmie,60,75,85,100,85,115,520,86.67
122,Mr. Mime,40,45,65,100,120,90,460,76.67
123,Scyther,70,110,80,55,80,105,500,83.33
124,Jynx,65,50,35,115,95,95,455,75.83
125,Electabuzz,65,83,57,95,85,105,490,81.67
126,Magmar,65,95,57,100,85,93,495,82.5
127,Pinsir,65,125,100,55,70,85,500,83.33
128,Tauros,75,100,95,40,70,110,490,81.67
129,Magikarp,20,10,55,15,20,80,200,33.33
130,Gyarados,95,125,79,60,100,81,540,90
131,Lapras,130,85,80,85,95,60,535,89.17
132,Ditto,48,48,48,48,48,48,288,48
133,Eevee,55,55,50,45,65,55,325,54.17
134,Vaporeon,130,65,60,110,95,65,525,87.5
135,Jolteon,65,65,60,110,95,130,525,87.5
136,Flareon,65,130,60,95,110,65,525,87.5
137,Porygon,65,60,70,85,75,40,395,65.83
138,Omanyte,35,40,100,90,55,35,355,59.17
139,Omastar,70,60,125,115,70,55,495,82.5
140,Kabuto,30,80,90,55,45,55,355,59.17
141,Kabutops,60,115,105,65,70,80,495,82.5
142,Aerodactyl,80,105,65,60,75,130,515,85.83
143,Snorlax,160,110,65,65,110,30,540,90
144,Articuno,90,85,100,95,125,85,580,96.67
145,Zapdos,90,90,85,125,90,100,580,96.67
146,Moltres,90,100,90,125,85,90,580,96.67
147,Dratini,41,64,45,50,50,50,300,50
148,Dragonair,61,84,65,70,70,70,420,70
149,Dragonite,91,134,95,100,100,80,600,100
150,Mewtwo,106,110,90,154,90,130,680,113.33
151,Mew,100,100,100,100,100,100,600,100
152,Chikorita,45,49,65,49,65,45,318,53
153,Bayleef,60,62,80,63,80,60,405,67.5
154,Meganium,80,82,100,83,100,80,525,87.5
155,Cyndaquil,39,52,43,60,50,65,309,51.5
156,Quilava,58,64,58,80,65,80,405,67.5
157,Typhlosion,78,84,78,109,85,100,534,89
158,Totodile,50,65,64,44,48,43,314,52.33
159,Croconaw,65,80,80,59,63,58,405,67.5
160,Feraligatr,85,105,100,79,83,78,530,88.33
161,Sentret,35,46,34,35,45,20,215,35.83
162,Furret,85,76,64,45,55,90,415,69.17
163,Hoothoot,60,30,30,36,56,50,262,43.67
164,Noctowl,100,50,50,76,96,70,442,73.67
165,Ledyba,40,20,30,40,80,55,265,44.17
166,Ledian,55,35,50,55,110,85,390,65
167,Spinarak,40,60,40,40,40,30,250,41.67
168,Ariados,70,90,70,60,60,40,390,65
169,Crobat,85,90,80,70,80,130,535,89.17
170,Chinchou,75,38,38,56,56,67,330,55
171,Lanturn,125,58,58,76,76,67,460,76.67
172,Pichu,20,40,15,35,35,60,205,34.17
173,Cleffa,50,25,28,45,55,15,218,36.33
174,Igglybuff,90,30,15,40,20,15,210,35
175,Togepi,35,20,65,40,65,20,245,40.83
176,Togetic,55,40,85,80,105,40,405,67.5
177,Natu,40,50,45,70,45,70,320,53.33
178,Xatu,65,75,70,95,70,95,470,78.33
179,Mareep,55,40,40,65,45,35,280,46.67
180,Flaaffy,70,55,55,80,60,45,365,60.83
181,Ampharos,90,75,75,115,90,55,500,83.33
182,Bellossom,75,80,85,90,100,50,480,80
183,Marill,70,20,50,20,50,40,250,41.67
184,Azumarill,100,50,80,50,80,50,410,68.33
185,Sudowoodo,70,100,115,30,65,30,410,68.33
186,Politoed,90,75,75,90,100,70,500,83.33
187,Hoppip,35,35,40,35,55,50,250,41.67
188,Skiploom,55,45,50,45,65,80,340,56.67
189,Jumpluff,75,55,70,55,85,110,450,75
190,Aipom,55,70,55,40,55,85,360,60
191,Sunkern,30,30,30,30,30,30,180,30
192,Sunflora,75,75,55,105,85,30,425,70.83
193,Yanma,65,65,45,75,45,95,390,65
194,Wooper,55,45,45,25,25,15,210,35
195,Quagsire,95,85,85,65,65,35,430,71.67
196,Espeon,65,65,60,130,95,110,525,87.5
197,Umbreon,95,65,110,60,130,65,525,87.5
198,Murkrow,60,85,42,85,42,91,405,67.5
199,Slowking,95,75,80,100,110,30,490,81.67
200,Misdreavus,60,60,60,85,85,85,435,72.5
201,Unown,48,72,48,72,48,48,336,56
202,Wobbuffet,190,33,58,33,58,33,405,67.5
203,Girafarig,70,80,65,90,65,85,455,75.83
204,Pineco,50,65,90,35,35,15,290,48.33
205,Forretress,75,90,140,60,60,40,465,77.5
206,Dunsparce,100,70,70,65,65,45,415,69.17
207,Gligar,65,75,105,35,65,85,430,71.67
208,Steelix,75,85,200,55,65,30,510,85
209,Snubbull,60,80,50,40,40,30,300,50
210,Granbull,90,120,75,60,60,45,450,75
211,Qwilfish,65,95,75,55,55,85,430,71.67
212,Scizor,70,130,100,55,80,65,500,83.33
213,Shuckle,20,10,230,10,230,5,505,84.17
214,Heracross,80,125,75,40,95,85,500,83.33
215,Sneasel,55,95,55,35,75,115,430,71.67
216,Teddiursa,60,80,50,50,50,40,330,55
217,Ursaring,90,130,75,75,75,55,500,83.33
218,Slugma,40,40,40,70,40,20,250,41.67
219,Magcargo,50,50,120,80,80,30,410,68.33
220,Swinub,50,50,40,30,30,50,250,41.67
221,Piloswine,100,100,80,60,60,50,450,75
222,Corsola,55,55,85,65,85,35,380,63.33
223,Remoraid,35,65,35,65,35,65,300,50
224,Octillery,75,105,75,105,75,45,480,80
225,Delibird,45,55,45,65,45,75,330,55
226,Mantine,65,40,70,80,140,70,465,77.5
227,Skarmory,65,80,140,40,70,70,465,77.5
228,Houndour,45,60,30,80,50,65,330,55
229,Houndoom,75,90,50,110,80,95,500,83.33
230,Kingdra,75,95,95,95,95,85,540,90
231,Phanpy,90,60,60,40,40,40,330,55
232,Donphan,90,120,120,60,60,50,500,83.33
233,Porygon2,85,80,90,105,95,60,515,85.83
234,Stantler,73,95,62,85,65,85,465,77.5
235,Smeargle,55,20,35,20,45,75,250,41.67
236,Tyrogue,35,35,35,35,35,35,210,35
237,Hitmontop,50,95,95,35,110,70,455,75.83
238,Smoochum,45,30,15,85,65,65,305,50.83
239,Elekid,45,63,37,65,55,95,360,60
240,Magby,45,75,37,70,55,83,365,60.83
241,Miltank,95,80,105,40,70,100,490,81.67
242,Blissey,255,10,10,75,135,55,540,90
243,Raikou,90,85,75,115,100,115,580,96.67
244,Entei,115,115,85,90,75,100,580,96.67
245,Suicune,100,75,115,90,115,85,580,96.67
246,Larvitar,50,64,50,45,50,41,300,50
247,Pupitar,70,84,70,65,70,51,410,68.33
248,Tyranitar,100,134,110,95,100,61,600,100
249,Lugia,106,90,130,90,154,110,680,113.33
250,Ho-Oh,106,130,90,110,154,90,680,113.33
251,Celebi,100,100,100,100,100,100,600,100
252,Treecko,40,45,35,65,55,70,310,51.67
253,Grovyle,50,65,45,85,65,95,405,67.5
254,Sceptile,70,85,65,105,85,120,530,88.33
255,Torchic,45,60,40,70,50,45,310,51.67
256,Combusken,60,85,60,85,60,55,405,67.5
257,Blaziken,80,120,70,110,70,80,530,88.33
258,Mudkip,50,70,50,50,50,40,310,51.67
259,Marshtomp,70,85,70,60,70,50,405,67.5
260,Swampert,100,110,90,85,90,60,535,89.17
261,Poochyena,35,55,35,30,30,35,220,36.67
262,Mightyena,70,90,70,60,60,70,420,70
263,Zigzagoon,38,30,41,30,41,60,240,40
264,Linoone,78,70,61,50,61,100,420,70
265,Wurmple,45,45,35,20,30,20,195,32.5
266,Silcoon,50,35,55,25,25,15,205,34.17
267,Beautifly,60,70,50,90,50,65,385,64.17
268,Cascoon,50,35,55,25,25,15,205,34.17
269,Dustox,60,50,70,50,90,65,385,64.17
270,Lotad,40,30,30,40,50,30,220,36.67
271,Lombre,60,50,50,60,70,50,340,56.67
272,Ludicolo,80,70,70,90,100,70,480,80
273,Seedot,40,40,50,30,30,30,220,36.67
274,Nuzleaf,70,70,40,60,40,60,340,56.67
275,Shiftry,90,100,60,90,60,80,480,80
276,Taillow,40,55,30,30,30,85,270,45
277,Swellow,60,85,60,50,50,125,430,71.67
278,Wingull,40,30,30,55,30,85,270,45
279,Pelipper,60,50,100,85,70,65,430,71.67
280,Ralts,28,25,25,45,35,40,198,33
281,Kirlia,38,35,35,65,55,50,278,46.33
282,Gardevoir,68,65,65,125,115,80,518,86.33
283,Surskit,40,30,32,50,52,65,269,44.83
284,Masquerain,70,60,62,80,82,60,414,69
285,Shroomish,60,40,60,40,60,35,295,49.17
286,Breloom,60,130,80,60,60,70,460,76.67
287,Slakoth,60,60,60,35,35,30,280,46.67
288,Vigoroth,80,80,80,55,55,90,440,73.33
289,Slaking,150,160,100,95,65,100,670,111.67
290,Nincada,31,45,90,30,30,40,266,44.33
291,Ninjask,61,90,45,50,50,160,456,76
292,Shedinja,1,90,45,30,30,40,236,39.33
293,Whismur,64,51,23,51,23,28,240,40
294,Loudred,84,71,43,71,43,48,360,60
295,Exploud,104,91,63,91,63,68,480,80
296,Makuhita,72,60,30,20,30,25,237,39.5
297,Hariyama,144,120,60,40,60,50,474,79
298,Azurill,50,20,40,20,40,20,190,31.67
299,Nosepass,30,45,135,45,90,30,375,62.5
300,Skitty,50,45,45,35,35,50,260,43.33
301,Delcatty,70,65,65,55,55,70,380,63.33
302,Sableye,50,75,75,65,65,50,380,63.33
303,Mawile,50,85,85,55,55,50,380,63.33
304,Aron,50,70,100,40,40,30,330,55
305,Lairon,60,90,140,50,50,40,430,71.67
306,Aggron,70,110,180,60,60,50,530,88.33
307,Meditite,30,40,55,40,55,60,280,46.67
308,Medicham,60,60,75,60,75,80,410,68.33
309,Electrike,40,45,40,65,40,65,295,49.17
310,Manectric,70,75,60,105,60,105,475,79.17
311,Plusle,60,50,40,85,75,95,405,67.5
312,Minun,60,40,50,75,85,95,405,67.5
313,Volbeat,65,73,55,47,75,85,400,66.67
314,Illumise,65,47,55,73,75,85,400,66.67
315,Roselia,50,60,45,100,80,65,400,66.67
316,Gulpin,70,43,53,43,53,40,302,50.33
317,Swalot,100,73,83,73,83,55,467,77.83
318,Carvanha,45,90,20,65,20,65,305,50.83
319,Sharpedo,70,120,40,95,40,95,460,76.67
320,Wailmer,130,70,35,70,35,60,400,66.67
321,Wailord,170,90,45,90,45,60,500,83.33
322,Numel,60,60,40,65,45,35,305,50.83
323,Camerupt,70,100,70,105,75,40,460,76.67
324,Torkoal,70,85,140,85,70,20,470,78.33
325,Spoink,60,25,35,70,80,60,330,55
326,Grumpig,80,45,65,90,110,80,470,78.33
327,Spinda,60,60,60,60,60,60,360,60
328,Trapinch,45,100,45,45,45,10,290,48.33
329,Vibrava,50,70,50,50,50,70,340,56.67
330,Flygon,80,100,80,80,80,100,520,86.67
331,Cacnea,50,85,40,85,40,35,335,55.83
332,Cacturne,70,115,60,115,60,55,475,79.17
333,Swablu,45,40,60,40,75,50,310,51.67
334,Altaria,75,70,90,70,105,80,490,81.67
335,Zangoose,73,115,60,60,60,90,458,76.33
336,Seviper,73,100,60,100,60,65,458,76.33
337,Lunatone,70,55,65,95,85,70,440,73.33
338,Solrock,70,95,85,55,65,70,440,73.33
339,Barboach,50,48,43,46,41,60,288,48
340,Whiscash,110,78,73,76,71,60,468,78
341,Corphish,43,80,65,50,35,35,308,51.33
342,Crawdaunt,63,120,85,90,55,55,468,78
343,Baltoy,40,40,55,40,70,55,300,50
344,Claydol,60,70,105,70,120,75,500,83.33
345,Lileep,66,41,77,61,87,23,355,59.17
346,Cradily,86,81,97,81,107,43,495,82.5
347,Anorith,45,95,50,40,50,75,355,59.17
348,Armaldo,75,125,100,70,80,45,495,82.5
349,Feebas,20,15,20,10,55,80,200,33.33
350,Milotic,95,60,79,100,125,81,540,90
351,Castform,70,70,70,70,70,70,420,70
352,Kecleon,60,90,70,60,120,40,440,73.33
353,Shuppet,44,75,35,63,33,45,295,49.17
354,Banette,64,115,65,83,63,65,455,75.83
355,Duskull,20,40,90,30,90,25,295,49.17
356,Dusclops,40,70,130,60,130,25,455,75.83
357,Tropius,99,68,83,72,87,51,460,76.67
358,Chimecho,65,50,70,95,80,65,425,70.83
359,Absol,65,130,60,75,60,75,465,77.5
360,Wynaut,95,23,48,23,48,23,260,43.33
361,Snorunt,50,50,50,50,50,50,300,50
362,Glalie,80,80,80,80,80,80,480,80
363,Spheal,70,40,50,55,50,25,290,48.33
364,Sealeo,90,60,70,75,70,45,410,68.33
365,Walrein,110,80,90,95,90,65,530,88.33
366,Clamperl,35,64,85,74,55,32,345,57.5
367,Huntail,55,104,105,94,75,52,485,80.83
368,Gorebyss,55,84,105,114,75,52,485,80.83
369,Relicanth,100,90,130,45,65,55,485,80.83
370,Luvdisc,43,30,55,40,65,97,330,55
371,Bagon,45,75,60,40,30,50,300,50
372,Shelgon,65,95,100,60,50,50,420,70
373,Salamence,95,135,80,110,80,100,600,100
374,Beldum,40,55,80,35,60,30,300,50
375,Metang,60,75,100,55,80,50,420,70
376,Metagross,80,135,130,95,90,70,600,100
377,Regirock,80,100,200,50,100,50,580,96.67
378,Regice,80,50,100,100,200,50,580,96.67
379,Registeel,80,75,150,75,150,50,580,96.67
380,Latias,80,80,90,110,130,110,600,100
381,Latios,80,90,80,130,110,110,600,100
382,Kyogre,100,100,90,150,140,90,670,111.67
383,Groudon,100,150,140,100,90,90,670,111.67
384,Rayquaza,105,150,90,150,90,95,680,113.33
385,Jirachi,100,100,100,100,100,100,600,100
386,Deoxys (Normal Forme),50,150,50,150,50,150,600,100
386,Deoxys (Attack Forme),50,180,20,180,20,150,600,100
386,Deoxys (Defense Forme),50,70,160,70,160,90,600,100
386,Deoxys (Speed Forme),50,95,90,95,90,180,600,100
